Value,Count,bps_alabama,evt_alabama,Value_1,Count_1,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE,Aref,Bref,Cref,Dref,Eref,Agref,Urref,Unref,Ueref,Value_12,Count_12,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R_1,G_1,B_1,RED_1,GREEN_1,BLUE_1
1369,1799.000000000000000,2096,7351,2096,20241208.000000000000000,13170,48,13170_48_53,Allegheny-Cumberland Dry Oak Forest and Woodland,Hardwood,91,1199,6,6,6,1,93,I-B,186,184,148,0.729412000000000,0.721569000000000,0.580392000000000,17,1,13,6,63,0,0,0,0,7351,110100.000000000000000,Southeastern Interior Longleaf Pine Woodland,7351,2351,Tr Southeastern Interior Longleaf Pine Woodland,Tree,Conifer,677,Longleaf Pine Woodland,SAF 70: Longleaf Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,116,214,204,0.454902000000000,0.839216000000000,0.800000000000000
1370,5.000000000000000,2113,7926,2113,156529.000000000000000,14710,48,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Riparian,613,392,121,80,13,21,66,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,9,25,6,12,48,0,0,0,0,7926,3164493.000000000000000,Eastern Cool Temperate Developed Evergreen Forest,7926,2909,Dtc Developed Evergreen Forest,Tree,Developed,14,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000
1371,2.000000000000000,2113,7398,2113,156529.000000000000000,14710,48,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Riparian,613,392,121,80,13,21,66,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,9,25,6,12,48,0,0,0,0,7398,21202.000000000000000,Cumberland Sandstone Glade and Barrens,7398,2398,Tr Cumberland Sandstone Glade and Barrens,Tree,Conifer-Hardwood,670,Glades and Barrens,LF 55: Appalachian Grass and Shrub Balds,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
1372,49.000000000000000,2113,9324,2113,156529.000000000000000,14710,48,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Riparian,613,392,121,80,13,21,66,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,9,25,6,12,48,0,0,0,0,9324,2606741.000000000000000,Southeastern Ruderal Wet Meadow & Marsh,9324,2576,He Southeastern Ruderal Wet Meadow & Marsh,Herb,Riparian,709,Introduced Herbaceous Wetland Vegetation,LF 59: Introduced Herbaceous Wetland and Riparian Vegetation,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000
1373,31.000000000000000,2103,7909,2103,1463913.000000000000000,13510,48,13510_48_54_59,Southeastern Interior Longleaf Pine Woodland,Conifer,552,299,3,3,1,1,98,I-A,143,161,26,0.560784000000000,0.631373000000000,0.101961000000000,8,1,26,63,2,0,0,0,0,7909,408635.000000000000000,Eastern Cool Temperate Urban Shrubland,7909,2917,Dsh Urban Shrubland,Shrub,Developed,17,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,207,171,215,0.811765000000000,0.670588000000000,0.843137000000000
1374,57.000000000000000,2099,7979,2099,5947582.000000000000000,13210,48,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Hardwood,869,534,86,68,8,13,79,III-A,71,135,148,0.278431000000000,0.529412000000000,0.580392000000000,2,11,32,55,0,0,0,0,0,7979,10601.000000000000000,Eastern Cool Temperate Aquaculture,7979,2969,Da Aquaculture,Agriculture,Agricultural,69,Agricultural-Aquaculture,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,210,255,237,0.823529000000000,1.000000000000000,0.929412000000000
1375,28.000000000000000,2096,9261,2096,20241208.000000000000000,13170,48,13170_48_53,Allegheny-Cumberland Dry Oak Forest and Woodland,Hardwood,91,1199,6,6,6,1,93,I-B,186,184,148,0.729412000000000,0.721569000000000,0.580392000000000,17,1,13,6,63,0,0,0,0,9261,3758.000000000000000,Southern Ridge and Valley Seepage Fen,9261,2493,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,Riparian,675,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91,195,199,0.356863000000000,0.764706000000000,0.780392000000000
1376,1812.000000000000000,2099,7419,2099,5947582.000000000000000,13210,48,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Hardwood,869,534,86,68,8,13,79,III-A,71,135,148,0.278431000000000,0.529412000000000,0.580392000000000,2,11,32,55,0,0,0,0,0,7419,30713.000000000000000,Southern Ridge and Valley Patch Prairie,7419,2419,He Southern Ridge and Valley Patch Prairie,Herb,Grassland,688,Prairies and Barrens,LF 55: Appalachian Grass and Shrub Balds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
1377,3.000000000000000,2105,9723,2105,868545.000000000000000,13680,48,13680_46_48_54_57_59_60_61,Southern Piedmont Dry Oak(-Pine) Forest,Hardwood-Conifer,325,235,5,5,2,2,96,I-A,211,186,255,0.827451000000000,0.729412000000000,1.000000000000000,8,16,24,40,12,0,0,0,0,9723,7048.000000000000000,South-Central Interior Large Floodplain Shrubland,9223,2471,Tr Central Interior and Appalachian Floodplain Systems,Shrub,Riparian,666,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
1378,63.000000000000000,2105,7979,2105,868545.000000000000000,13680,48,13680_46_48_54_57_59_60_61,Southern Piedmont Dry Oak(-Pine) Forest,Hardwood-Conifer,325,235,5,5,2,2,96,I-A,211,186,255,0.827451000000000,0.729412000000000,1.000000000000000,8,16,24,40,12,0,0,0,0,7979,10601.000000000000000,Eastern Cool Temperate Aquaculture,7979,2969,Da Aquaculture,Agriculture,Agricultural,69,Agricultural-Aquaculture,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,210,255,237,0.823529000000000,1.000000000000000,0.929412000000000
1379,769.000000000000000,2105,7419,2105,868545.000000000000000,13680,48,13680_46_48_54_57_59_60_61,Southern Piedmont Dry Oak(-Pine) Forest,Hardwood-Conifer,325,235,5,5,2,2,96,I-A,211,186,255,0.827451000000000,0.729412000000000,1.000000000000000,8,16,24,40,12,0,0,0,0,7419,30713.000000000000000,Southern Ridge and Valley Patch Prairie,7419,2419,He Southern Ridge and Valley Patch Prairie,Herb,Grassland,688,Prairies and Barrens,LF 55: Appalachian Grass and Shrub Balds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
1380,1.000000000000000,2099,9723,2099,5947582.000000000000000,13210,48,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Hardwood,869,534,86,68,8,13,79,III-A,71,135,148,0.278431000000000,0.529412000000000,0.580392000000000,2,11,32,55,0,0,0,0,0,9723,7048.000000000000000,South-Central Interior Large Floodplain Shrubland,9223,2471,Tr Central Interior and Appalachian Floodplain Systems,Shrub,Riparian,666,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
1381,2.000000000000000,2106,7972,2106,14566876.000000000000000,13760,48,13760_48_53_57_61,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,Hardwood,187,109,8,7,4,6,90,I-B,222,153,122,0.870588000000000,0.600000000000000,0.478431000000000,8,5,22,50,15,0,0,0,0,7972,342452.000000000000000,Eastern Cool Temperate Bush fruit and berries,7972,2962,Dab Bush Fruit and Berries,Shrub,Agricultural,62,Agricultural-Bush fruit and berries,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,210,28,119,0.823529000000000,0.109804000000000,0.466667000000000
1382,2.000000000000000,2096,7972,2096,20241208.000000000000000,13170,48,13170_48_53,Allegheny-Cumberland Dry Oak Forest and Woodland,Hardwood,91,1199,6,6,6,1,93,I-B,186,184,148,0.729412000000000,0.721569000000000,0.580392000000000,17,1,13,6,63,0,0,0,0,7972,342452.000000000000000,Eastern Cool Temperate Bush fruit and berries,7972,2962,Dab Bush Fruit and Berries,Shrub,Agricultural,62,Agricultural-Bush fruit and berries,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,210,28,119,0.823529000000000,0.109804000000000,0.466667000000000
1383,263.000000000000000,2113,9223,2113,156529.000000000000000,14710,48,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Riparian,613,392,121,80,13,21,66,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,9,25,6,12,48,0,0,0,0,9223,4755648.000000000000000,South-Central Interior Large Floodplain Forest,9223,2471,Tr Central Interior and Appalachian Floodplain Systems,Tree,Riparian,666,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
1384,3615.000000000000000,2103,7419,2103,1463913.000000000000000,13510,48,13510_48_54_59,Southeastern Interior Longleaf Pine Woodland,Conifer,552,299,3,3,1,1,98,I-A,143,161,26,0.560784000000000,0.631373000000000,0.101961000000000,8,1,26,63,2,0,0,0,0,7419,30713.000000000000000,Southern Ridge and Valley Patch Prairie,7419,2419,He Southern Ridge and Valley Patch Prairie,Herb,Grassland,688,Prairies and Barrens,LF 55: Appalachian Grass and Shrub Balds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
1385,15.000000000000000,2103,7979,2103,1463913.000000000000000,13510,48,13510_48_54_59,Southeastern Interior Longleaf Pine Woodland,Conifer,552,299,3,3,1,1,98,I-A,143,161,26,0.560784000000000,0.631373000000000,0.101961000000000,8,1,26,63,2,0,0,0,0,7979,10601.000000000000000,Eastern Cool Temperate Aquaculture,7979,2969,Da Aquaculture,Agriculture,Agricultural,69,Agricultural-Aquaculture,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,210,255,237,0.823529000000000,1.000000000000000,0.929412000000000
1386,105400.000000000000000,2109,9322,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,9322,182779395.000000000000000,Southeastern North American Temperate Forest Plantation,9322,2574,Tr Southeastern North American Temperate Forest Plantation,Tree,Conifer,731,Managed Tree Plantation,LF 61: Managed Tree Plantation,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,158,67,14,0.619608000000000,0.262745000000000,0.054902000000000
1387,19755.000000000000000,2109,9823,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,9823,117237061.000000000000000,Southeastern Ruderal Grassland,9323,2575,Sh Southeastern Ruderal Grassland & Shrubland,Herb,Exotic Herbaceous,703,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000
1388,17.000000000000000,2113,7979,2113,156529.000000000000000,14710,48,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Riparian,613,392,121,80,13,21,66,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,9,25,6,12,48,0,0,0,0,7979,10601.000000000000000,Eastern Cool Temperate Aquaculture,7979,2969,Da Aquaculture,Agriculture,Agricultural,69,Agricultural-Aquaculture,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,210,255,237,0.823529000000000,1.000000000000000,0.929412000000000
1389,25.000000000000000,2099,9261,2099,5947582.000000000000000,13210,48,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Hardwood,869,534,86,68,8,13,79,III-A,71,135,148,0.278431000000000,0.529412000000000,0.580392000000000,2,11,32,55,0,0,0,0,0,9261,3758.000000000000000,Southern Ridge and Valley Seepage Fen,9261,2493,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,Riparian,675,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91,195,199,0.356863000000000,0.764706000000000,0.780392000000000
1390,2231.000000000000000,2109,7907,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7907,11662895.000000000000000,Eastern Cool Temperate Urban Mixed Forest,7907,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,Developed,15,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,194,158,215,0.760784000000000,0.619608000000000,0.843137000000000
1391,13.000000000000000,2113,7419,2113,156529.000000000000000,14710,48,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Riparian,613,392,121,80,13,21,66,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,9,25,6,12,48,0,0,0,0,7419,30713.000000000000000,Southern Ridge and Valley Patch Prairie,7419,2419,He Southern Ridge and Valley Patch Prairie,Herb,Grassland,688,Prairies and Barrens,LF 55: Appalachian Grass and Shrub Balds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
1392,135.000000000000000,2113,9726,2113,156529.000000000000000,14710,48,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Riparian,613,392,121,80,13,21,66,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,9,25,6,12,48,0,0,0,0,9726,311502.000000000000000,South-Central Interior Small Stream and Riparian Herbaceous,9224,2472,Tr Central Interior and Appalachian Riparian Systems,Herb,Riparian,668,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
1393,7.000000000000000,2113,9724,2113,156529.000000000000000,14710,48,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Riparian,613,392,121,80,13,21,66,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,9,25,6,12,48,0,0,0,0,9724,17504.000000000000000,South-Central Interior Small Stream and Riparian Shrubland,9224,2472,Tr Central Interior and Appalachian Riparian Systems,Shrub,Riparian,668,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
1394,16.000000000000000,2106,9724,2106,14566876.000000000000000,13760,48,13760_48_53_57_61,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,Hardwood,187,109,8,7,4,6,90,I-B,222,153,122,0.870588000000000,0.600000000000000,0.478431000000000,8,5,22,50,15,0,0,0,0,9724,17504.000000000000000,South-Central Interior Small Stream and Riparian Shrubland,9224,2472,Tr Central Interior and Appalachian Riparian Systems,Shrub,Riparian,668,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
1395,8922.000000000000000,2109,7376,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7376,7512609.000000000000000,Southern Ridge and Valley / Cumberland Dry Calcareous Forest,7376,2376,Tr Southern Ridge and Valley/Cumberland Dry Calcareous Forest,Tree,Hardwood,660,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,85,187,194,0.333333000000000,0.733333000000000,0.760784000000000
1396,2.000000000000000,2096,9723,2096,20241208.000000000000000,13170,48,13170_48_53,Allegheny-Cumberland Dry Oak Forest and Woodland,Hardwood,91,1199,6,6,6,1,93,I-B,186,184,148,0.729412000000000,0.721569000000000,0.580392000000000,17,1,13,6,63,0,0,0,0,9723,7048.000000000000000,South-Central Interior Large Floodplain Shrubland,9223,2471,Tr Central Interior and Appalachian Floodplain Systems,Shrub,Riparian,666,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
1397,11.000000000000000,2105,9724,2105,868545.000000000000000,13680,48,13680_46_48_54_57_59_60_61,Southern Piedmont Dry Oak(-Pine) Forest,Hardwood-Conifer,325,235,5,5,2,2,96,I-A,211,186,255,0.827451000000000,0.729412000000000,1.000000000000000,8,16,24,40,12,0,0,0,0,9724,17504.000000000000000,South-Central Interior Small Stream and Riparian Shrubland,9224,2472,Tr Central Interior and Appalachian Riparian Systems,Shrub,Riparian,668,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
1398,11218.000000000000000,2109,7977,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7977,313325689.000000000000000,Eastern Cool Temperate Pasture and Hayland,7977,2967,Dab Pasture and Hayland,Herb,Agricultural,67,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,227,212,28,0.890196000000000,0.831373000000000,0.109804000000000
1399,603.000000000000000,2109,7974,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7974,483521211.000000000000000,Eastern Cool Temperate Row Crop,7974,2964,Da Row Crop,Agriculture,Agricultural,64,Agricultural-Row Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,250,255,119,0.980392000000000,1.000000000000000,0.466667000000000
1400,1910.000000000000000,2109,7296,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7296,105818610.000000000000000,Developed-Low Intensity,7296,2902,Bau Developed-Low Intensity,Developed,Developed-Low Intensity,22,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,255,122,143,1.000000000000000,0.478431000000000,0.560784000000000
1401,587.000000000000000,2109,7908,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7908,20143534.000000000000000,Eastern Cool Temperate Urban Herbaceous,7908,2916,Dgr Urban Herbaceous,Herb,Developed,16,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,202,122,245,0.792157000000000,0.478431000000000,0.960784000000000
1402,1073.000000000000000,2109,7297,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7297,48886614.000000000000000,Developed-Medium Intensity,7297,2903,Bau Developed-Medium Intensity,Developed,Developed-Medium Intensity,23,Developed-Medium Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,253,44,79,0.992157000000000,0.172549000000000,0.309804000000000
1403,428.000000000000000,2109,7929,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7929,15630515.000000000000000,Eastern Cool Temperate Developed Herbaceous,7929,2911,Dgr Developed Herbaceous,Herb,Developed,16,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,158,170,215,0.619608000000000,0.666667000000000,0.843137000000000
1404,9119.000000000000000,2109,7353,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7353,9659233.000000000000000,Southern Appalachian Low-Elevation Pine Forest,7353,2353,Tr Southern Appalachian Low-Elevation Pine Forest,Tree,Conifer,695,Virginia Pine Forest,SAF 79: Virginia Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,10,61,128,0.039216000000000,0.239216000000000,0.501961000000000
1405,9078.000000000000000,2109,7321,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7321,66087085.000000000000000,South-Central Interior Mesophytic Forest,7321,2321,Tr South-Central Interior Mesophytic Forest,Tree,Hardwood,655,Beech-Maple-Basswood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,38,115,0.000000000000000,0.149020000000000,0.450980000000000
1406,14758.000000000000000,2109,7317,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7317,37566580.000000000000000,Allegheny-Cumberland Dry Oak Forest and Woodland,7317,2317,Tr Allegheny-Cumberland Dry Oak Forest and Woodland,Tree,Hardwood,661,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
1407,1020.000000000000000,2109,7906,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7906,12655153.000000000000000,Eastern Cool Temperate Urban Evergreen Forest,7906,2914,Dtc Urban Evergreen Forest,Tree,Developed,14,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,170,102,205,0.666667000000000,0.400000000000000,0.803922000000000
1408,477.000000000000000,2109,7927,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7927,6190993.000000000000000,Eastern Cool Temperate Developed Mixed Forest,7927,2910,Dtm Developed Mixed Deciduous-Evergreen Forest,Tree,Developed,15,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,68,79,137,0.266667000000000,0.309804000000000,0.537255000000000
1409,371.000000000000000,2109,7926,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7926,3164493.000000000000000,Eastern Cool Temperate Developed Evergreen Forest,7926,2909,Dtc Developed Evergreen Forest,Tree,Developed,14,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000
1410,101.000000000000000,2109,7925,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7925,7481704.000000000000000,Eastern Cool Temperate Developed Deciduous Forest,7925,2908,Dtd Developed Deciduous Forest,Tree,Developed,13,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,64,61,168,0.250980000000000,0.239216000000000,0.658824000000000
1411,251.000000000000000,2109,9323,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,9323,6495491.000000000000000,Southeastern Ruderal Shrubland,9323,2575,Sh Southeastern Ruderal Grassland & Shrubland,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000
1412,13.000000000000000,2108,9261,2108,646440.000000000000000,14010,48,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,Grassland,19,16,5,3,18,21,61,I-A,255,235,20,1.000000000000000,0.921569000000000,0.078431000000000,58,7,23,10,2,0,0,0,0,9261,3758.000000000000000,Southern Ridge and Valley Seepage Fen,9261,2493,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,Riparian,675,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91,195,199,0.356863000000000,0.764706000000000,0.780392000000000
1413,448.000000000000000,2109,7298,2109,237000.000000000000000,14080,48,14080_48,Alabama Ketona Glade and Woodland,Hardwood,19,16,5,3,18,21,61,I-A,242,245,41,0.949020000000000,0.960784000000000,0.160784000000000,58,7,23,10,2,0,0,0,0,7298,23434289.000000000000000,Developed-High Intensity,7298,2904,Bau Developed-High Intensity,Developed,Developed-High Intensity,24,Developed-High Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,173,0,28,0.678431000000000,0.000000000000000,0.109804000000000
